92-U-234(n,total fission) ENDF/B-VII.1
189.335,0.00155111
189.581,0.00127802
189.851,0.00106724
190.182,8.86208E-4
190.568,7.38318E-4
191.019,6.16288E-4
191.621,5.03725E-4
192.261,4.20469E-4
193.077,3.45856E-4
194.045,2.84645E-4
195.199,2.34209E-4
196.561,1.93459E-4
198.05,1.63358E-4
199.68,1.40609E-4
201.465,1.26395E-4
202.707,1.2209E-4
203.677,1.24841E-4
204.404,1.32524E-4
205.033,1.46086E-4
205.516,1.65683E-4
205.902,1.91427E-4
206.231,2.26321E-4
206.468,2.64569E-4
206.665,3.10364E-4
206.846,3.70558E-4
207.012,4.50201E-4
207.154,5.49625E-4
207.264,6.60083E-4
207.359,7.94138E-4
207.438,9.56536E-4
207.501,0.00115169
207.548,0.00137118
207.59,0.00165467
207.625,0.00200807
207.658,0.00246895
207.687,0.00305241
207.717,0.00385483
207.746,0.00495561
207.771,0.00617297
207.796,0.00773844
207.824,0.0101007
207.852,0.0130718
207.883,0.0174924
207.915,0.0232358
207.95,0.0315765
207.986,0.0422022
208.026,0.0573612
208.076,0.0803405
208.148,0.12133
208.264,0.191312
208.335,0.220894
208.399,0.230403
208.4,0.230405
208.461,0.221875
208.52,0.199053
208.615,0.144612
208.708,0.0890618
208.76,0.0632232
208.8,0.046959
208.839,0.0345521
208.874,0.02556
208.907,0.0191441
208.938,0.0144062
208.964,0.0112464
208.991,0.00877239
209.018,0.0068582
209.046,0.00532211
209.075,0.00412237
209.105,0.00324579
209.134,0.00260766
209.164,0.00214277
209.196,0.00178282
209.23,0.00150029
209.272,0.00126206
209.327,0.00104766
209.396,8.70208E-4
209.488,7.11037E-4
209.587,5.93466E-4
209.705,4.92377E-4
209.835,4.12322E-4
210.001,3.39801E-4
210.167,2.88069E-4
210.384,2.3985E-4
210.644,2.00027E-4
210.929,1.70115E-4
211.269,1.45385E-4
211.676,1.2508E-4
212.254,1.06669E-4
212.968,9.21454E-5
213.988,7.9782E-5
215.211,7.12078E-5
217.028,6.4328E-5
218.618,6.21349E-5
219.381,6.3654E-5
219.747,6.69557E-5
219.915,7.06737E-5
220.027,7.6375E-5
220.1,8.46749E-5
220.149,9.52861E-5
220.19,1.09712E-4
220.231,1.32192E-4
220.268,1.62578E-4
220.301,2.00819E-4
220.334,2.53006E-4
220.365,3.17917E-4
220.396,4.01707E-4
220.433,5.31958E-4
220.47,6.99669E-4
220.513,9.47956E-4
220.564,0.00131307
220.637,0.00195476
220.758,0.0031
220.831,0.00359256
220.897,0.00375551
220.9,0.00375582
220.963,0.0036144
221.032,0.00318269
221.155,0.00203102
221.229,0.0013647
221.282,9.76841E-4
221.328,7.08211E-4
221.368,5.29243E-4
221.404,4.02542E-4
221.44,3.06405E-4
221.473,2.40939E-4
221.504,1.94331E-4
221.537,1.58192E-4
221.57,1.32214E-4
221.611,1.1012E-4
221.644,9.83019E-5
221.694,8.69245E-5
221.743,8.02436E-5
221.832,7.40535E-5
221.98,6.97959E-5
222.376,6.64283E-5
222.534,6.61859E-5
223.135,6.79667E-5
223.737,7.36564E-5
224.255,8.3205E-5
224.604,9.46178E-5
224.895,1.1025E-4
225.129,1.3031E-4
225.305,1.53526E-4
225.451,1.82275E-4
225.574,2.17886E-4
225.66,2.54687E-4
225.73,2.97956E-4
225.781,3.4606E-4
225.828,4.10524E-4
225.87,4.98931E-4
225.907,6.11455E-4
225.937,7.44283E-4
225.967,9.2771E-4
225.997,0.00118077
226.025,0.00149393
226.051,0.00187985
226.077,0.00237887
226.103,0.00301806
226.134,0.00401356
226.165,0.00531415
226.196,0.00698269
226.23,0.00934443
226.268,0.0126492
226.311,0.0173936
226.363,0.024506
226.438,0.0369655
226.551,0.0571296
226.625,0.0668155
226.692,0.070344
226.7,0.070387
226.762,0.0678534
226.827,0.0604338
226.928,0.043212
227.023,0.0266082
227.078,0.018672
227.121,0.0136788
227.159,0.0101657
227.194,0.00763327
227.225,0.00583069
227.255,0.00445045
227.285,0.00337888
227.316,0.0025604
227.346,0.00194447
227.375,0.00149826
227.402,0.0011885
227.43,9.55376E-4
227.46,7.64225E-4
227.49,6.25713E-4
227.526,5.08398E-4
227.566,4.20983E-4
227.614,3.51535E-4
227.67,2.97208E-4
227.746,2.50299E-4
227.841,2.11586E-4
227.949,1.8135E-4
228.095,1.5262E-4
228.271,1.29416E-4
228.5,1.09655E-4
228.784,9.4182E-5
229.125,8.2719E-5
229.598,7.33518E-5
230.197,6.67668E-5
231.155,6.21356E-5
232.03,6.09917E-5
233.243,6.28566E-5
234.079,6.71013E-5
234.727,7.34611E-5
235.266,8.32054E-5
235.646,9.50624E-5
235.918,1.08578E-4
236.136,1.2487E-4
236.326,1.46112E-4
236.49,1.73368E-4
236.626,2.07461E-4
