92-U-234(n,&gamma;) ENDF/B-VII.1
235.266,0.0697122
235.522,0.0839039
235.743,0.101031
235.965,0.125233
236.142,0.152581
236.293,0.185009
236.428,0.224474
236.544,0.271632
236.641,0.325427
236.735,0.398356
236.803,0.475948
236.857,0.566443
236.904,0.68026
236.945,0.826171
236.98,1.00548
237.009,1.21104
237.038,1.48782
237.067,1.86095
237.094,2.32452
237.124,2.98279
237.153,3.85635
237.182,5.00366
237.211,6.49255
237.244,8.65213
237.278,11.5881
237.312,15.3483
237.349,20.5815
237.39,27.7427
237.442,39.2701
237.51,57.7052
237.654,100.348
237.722,115.02
237.788,121.222
