94-Pu-239(n,total fission) ENDF/B-VII.1
128.351,12.7057
129.013,16.0256
129.587,20.0094
130.155,25.3385
130.841,33.7978
131.548,42.7474
131.948,45.5023
132.093,45.7118
132.477,43.9365
132.951,37.8769
133.466,29.7603
133.564,29.1888
133.663,30.4339
133.759,34.2392
133.91,42.0593
133.97,43.111
134.036,41.6905
134.117,36.8006
134.259,26.0056
134.329,22.0274
134.399,19.3776
134.499,17.0797
134.652,15.0735
134.946,12.4559
135.348,9.8282
135.687,8.24501
135.931,7.50397
136.08,7.33068
136.185,7.47524
136.276,8.0015
136.337,8.78784
136.383,9.79927
136.431,11.501
136.475,13.8996
136.514,16.9206
136.552,21.0523
136.595,27.1386
136.64,35.7436
136.698,49.4914
136.835,86.8604
136.893,97.8014
136.952,101.712
136.994,99.4855
137.045,91.7239
137.13,70.8077
137.224,45.6401
137.28,33.6593
137.329,25.6277
137.376,19.9177
137.418,16.1556
137.462,13.2447
137.516,10.8613
137.577,9.06781
137.653,7.63162
137.748,6.49371
137.87,5.53735
138.042,4.66222
138.276,3.88149
138.535,3.28367
138.913,2.63697
139.06,2.48538
139.078,2.48155
139.16,2.53831
139.247,2.76731
139.437,3.54149
139.513,3.64459
139.602,3.49083
139.831,2.62466
139.947,2.35916
140.064,2.21108
140.371,2.02097
140.739,1.93232
140.862,1.92697
141.245,1.99615
141.538,2.16661
141.786,2.44138
141.992,2.82932
142.155,3.31814
142.276,3.87139
142.373,4.52228
142.461,5.41296
142.527,6.43824
142.579,7.66753
142.625,9.2353
142.671,11.4736
142.709,14.1499
142.748,17.7452
142.787,22.4571
142.835,29.9499
